Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Stud20	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Mach18	Cour0	Cour1
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S																								S16																			S	S	
D14,3		R0		S	S3,30	S2,30	S1,30	S0,30	S2,30	S2,30	S1,30	S3,30	S3,30	S2,30	S3,30	S1,30	S0,30	S2,30	S0,30	S3,30	S1,30	S1,30	S0,30	S1,30	S2,30		S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16			
D19,3																																															
D17,1			P13																																												
D19,3			d0,13	P																						r																					
			D0,13																																												
D20,2			d1,13																							R	r																				
			D1,13																																												
D17,3			d2,13	G24																							R	r																			
			D2,13																																												
D8,1			d3,13																									R	r																		
			D3,13																																												
D11,1			d4,13																										R	r																	
			D4,13																																												
D1,2			d5,13																											R	r																
			D5,13																																												
D11,3			d6,13																												R	r															
			D6,13																																												
D17,1			d7,13																													R	r														
			D7,13																																												
D7,2			d8,13																														R	r													
			D8,13																																												
D0,1			d9,13																															R	r												
			D9,13																																												
D8,2			d10,13																																R	r											
			D10,13																																												
D11,3			d11,13																																	R	r										
			D11,13																																												
D9,2			d12,13																																		R	r									
			D12,13																																												
D5,1			d13,13																																			R	r								
			D13,13																																												
D1,2			d14,13																																				R	r							
			D14,13																																												
D19,1			d15,13																																					R	r						
			D15,13																																												
D15,1			d16,13																																						R	r					
			D16,13																																												
D3,2			d17,13																																							R	r				
			D17,13																																												
D3,1			d18,13																																								R	r			
D14,2			D18,13																																									R			
D4,2																																															
D0,2			P24																																												
D17,3			d0,24	P																						r																					
			D0,24																																												
D5,2			d1,24																							R	r																				
			D1,24																																												
D13,1			d2,24	G13																							R	r																			
			D2,24																																												
D12,3			d3,24																									R	r																		
			D3,24																																												
D18,1			d4,24																										R	r																	
			D4,24																																												
D19,2			d5,24																											R	r																
			D5,24																																												
D15,2			d6,24																												R	r															
			D6,24																																												
D15,1			d7,24																													R	r														
			D7,24																																												
D6,3			d8,24																														R	r													
			D8,24																																												
D19,1			d9,24																															R	r												
			D9,24																																												
D5,1			d10,24																																R	r											
			D10,24																																												
D5,2			d11,24																																	R	r										
			D11,24																																												
D12,1			d12,24																																		R	r									
			D12,24																																												
D8,3			d13,24																																			R	r								
			D13,24																																												
D12,3			d14,24																																				R	r							
			D14,24																																												
D7,2			d15,24																																					R	r						
			D15,24																																												
D15,3			d16,24																																						R	r					
			D16,24																																												
D0,2			d17,24																																							R	r				
			D17,24																																												
D6,2			d18,24																																								R	r			
D3,3			D18,24																																									R			
D3,3																																															
D2,2			P13																																												
D15,1			d0,13	P																						r																					
			D0,13																																												
D13,1			d1,13																							R	r																				
			D1,13																																												
D16,3			d2,13	G15																							R	r																			
			D2,13																																												
D17,1			d3,13																									R	r																		
			D3,13																																												
D16,3	W		d4,13																										R	r																T16,21	
			D4,13																																												
D9,3			d5,13																		B15					B1,7				R	r																
			D5,13																																												
D20,1			d6,13																												R	r															
			D6,13																																												
D3,1			d7,13																													R	r														
			D7,13																																												
D9,3			d8,13																														R	r													
			D8,13																																												
D9,2	T16,21		d9,13																															R	r											t16,21	
			D9,13																																												
D1,1			d10,13																																R	r											
			D10,13																																												
D10,2			d11,13																																	R	r										
			D11,13																																												
D17,1			d12,13																																		R	r									
			D12,13																																												
D20,3			d13,13																																			R	r								
			D13,13																																												
D18,1			d14,13																																				R	r							
			D14,13																																												
D14,1			d15,13																																					R	r						
			D15,13																																												
D20,2			d16,13																																						R	r					
			D16,13																																												
D3,3			d17,13																																							R	r				
			D17,13																																												
D2,2			d18,13																																								R	r			
D9,1			D18,13																																									R			
D6,2																																															
D0,1																																															
D11,2			P15																																												
D16,2			d0,15	P																						r																					
			D0,14																																												
D13,1			d1,14																							R	r																				
			D1,14																																												
D18,3			d2,14	G18																							R	r																			
			D2,14																																												
D4,3			d3,14																									R	r																		
			D3,14																																												
D12,2			d4,14																										R	r																	
			D4,14																																												
D19,2			d5,14																											R	r																
			D5,14																																												
D17,2			d6,14																												R	r															
			D6,14																																												
D11,3			d7,14																													R	r														
			D7,14																																												
D4,2			d8,14																														R	r													
			D8,14																																												
D7,3			d9,14																															R	r												
			D9,14																																												
D10,2			d10,14																																R	r											
			D10,14																																												
D3,3			d11,14																																	R	r										
			D11,14																																												
D20,1			d12,14																																		R	r									
			D12,14																																												
D13,2			d13,14																																			R	r								
			D13,14																																												
D16,1			d14,14																																				R	r							
			D14,14																																												
D16,3			d15,14																																					R	r						
			D15,14																																												
D6,2			d16,14																																						R	r					
			D16,14																																												
D2,1			d17,14																																							R	r				
			D17,14																																												
D0,2			d18,14																																								R	r			
D10,2			D18,14																																									R			
D4,1																																															
D18,1																																															
D8,1			P18																																												
D11,1			d0,18	P																						r																					
			D0,18																																												
D13,3			d1,18																							R	r																				
			D1,18																																												
D3,1			d2,18	G14																							R	r																			
			D2,18																																												
D1,3			d3,18																									R	r																		
			D3,18																																												
D8,3			d4,18																										R	r																	
			D4,18																																												
D10,2			d5,18																											R	r																
			D5,18																																												
D9,3			d6,18																												R	r															
			D6,18																																												
D4,1			d7,18																													R	r														
			D7,18																																												
D16,1			d8,18																														R	r													
			D8,18																																												
D16,3			d9,18																															R	r												
			D9,18																																												
D10,1			d10,18																																R	r											
			D10,18																																												
D0,3			d11,18																																	R	r										
			D11,18																																												
D4,3			d12,18																																		R	r									
			D12,18																																												
D11,1			d13,18																																			R	r								
			D13,18																																												
D1,1			d14,18																																				R	r							
			D14,18																																												
D15,3			d15,18																																					R	r						
			D15,18																																												
D7,1			d16,18																																						R	r					
			D16,18																																												
D11,3			d17,18																																							R	r				
			D17,18																																												
D12,2			d18,18																																								R	r			
D20,2			D18,18																																									R			
D15,2																																															
D4,2			P14																																												
D6,3			d0,14	P																						r																					
			D0,14																																												
D5,1			d1,14																							R	r																				
			D1,14																																												
D7,2			d2,14	G9																							R	r																			
			D2,14																																												
D8,1			d3,14																									R	r																		
			D3,14																																												
D18,1			d4,14																										R	r																	
			D4,14																																												
D14,2			d5,14																											R	r																
			D5,14																																												
D15,2			d6,14																												R	r															
			D6,14																																												
D6,1			d7,14																													R	r														
			D7,14																																												
D5,1			d8,14																														R	r													
			D8,14																																												
D1,1			d9,14																															R	r												
			D9,14																																												
D18,1			d10,14																																R	r											
			D10,14																																												
D13,1			d11,14																																	R	r										
			D11,14																																												
D0,3			d12,14																																		R	r									
			D12,14																																												
D1,1			d13,14																																			R	r								
			D13,14																																												
D8,2			d14,14																																				R	r							
			D14,14																																												
D0,3			d15,14																																					R	r						
			D15,14																																												
D11,3			d16,14																																						R	r					
			D16,14																																												
D0,1			d17,14																																							R	r				
			D17,14																																												
D9,1			d18,14																																								R	r			
D4,1			D18,14																																									R			
D2,3																																															
D4,1			P9																																												
D6,3			d0,9	P																						r																					
			D0,9																																												
D0,1			d1,9																							R	r																				
			D1,9																																												
D16,1			d2,9	G18																							R	r																			
			D2,9																																												
D14,3			d3,9																									R	r																		
			D3,9																																												
D9,3			d4,9																										R	r																	
			D4,9																																												
D10,1			d5,9																											R	r																
			D5,9																																												
D18,2			d6,9																												R	r															
			D6,9																																												
D2,3			d7,9																													R	r														
			D7,9																																												
D5,1			d8,9																														R	r													
			D8,9																																												
D6,3			d9,9																															R	r												
			D9,9																																												
D7,3			d10,9																																R	r											
			D10,9																																												
D0,1			d11,9																																	R	r										
			D11,9																																												
D11,2			d12,9																																		R	r									
			D12,9																																												
D5,3			d13,9																																			R	r								
			D13,9																																												
D19,3			d14,9																																				R	r							
			D14,9																																												
D16,3			d15,9																																					R	r						
			D15,9																																												
D1,2			d16,9																																						R	r					
			D16,9																																												
D7,1			d17,9																																							R	r				
			D17,9																																												
D0,3			d18,9																																								R	r			
D8,2			D18,9																																									R			
D20,1																																															
D17,3																																															
D18,3																																															
D7,1			P18																																												
D19,2			d0,18	P																						r																					
			D0,18																																												
D20,1			d1,18																							R	r																				
			D1,18																																												
D19,2			d2,18	G15																							R	r																			
			D2,18																																												
D20,1			d3,18																									R	r																		
			D3,18																																												
D7,3			d4,18																										R	r																	
			D4,18																																												
D16,1			d5,18																											R	r																
			D5,18																																												
D16,1			d6,18																												R	r															
			D6,18																																												
D17,1			d7,18																													R	r														
			D7,18																																												
D11,3			d8,18																														R	r													
			D8,18																																												
D12,3			d9,18																															R	r												
			D9,18																																												
D20,3			d10,18																																R	r											
			D10,18																																												
D10,3			d11,18																																	R	r										
			D11,18																																												
D20,3			d12,18																																		R	r									
			D12,18																																												
D11,1			d13,18																																			R	r								
			D13,18																																												
D13,3			d14,18																																				R	r							
			D14,18																																												
D2,1			d15,18																																					R	r						
			D15,18																																												
D15,3			d16,18																																						R	r					
			D16,18																																												
D13,2			d17,18																																							R	r				
			D17,18																																												
D8,1			d18,18																																								R	r			
D13,1			D18,18																																									R			
			P15																																												
D13,1			d0,15	P																						r																					
			D0,15																																												
D16,3			d1,15																							R	r																				
			D1,15																																												
D0,2			d2,15	G19																							R	r																			
			D2,15																																												
D6,3			d3,15																									R	r																		
			D3,15																																												
D2,1			d4,15																										R	r																	
			D4,15																																												
D5,1			d5,15																											R	r																
			D5,15																																												
D9,2			d6,15																												R	r															
			D6,15																																												
D10,3			d7,15																													R	r														
			D7,15																																												
D3,2			d8,15																														R	r													
			D8,15																																												
D12,3			d9,15																															R	r												
			D9,15																																												
D12,2			d10,15																																R	r											
			D10,15																																												
D6,2			d11,15																																	R	r										
			D11,15																																												
D13,3			d12,15																																		R	r									
			D12,15																																												
D1,1			d13,15																																			R	r								
			D13,15																																												
D5,2			d14,15																																				R	r							
			D14,15																																												
D20,2			d15,15																																					R	r						
			D15,15																																												
D4,2			d16,15																																						R	r					
			D16,15																																												
D15,2			d17,15																																							R	r				
			D17,15																																												
D15,2	W		d18,15																																								R	r	T15,21		
D15,3			D18,15																	B10						B3,7																		R			
D7,3																																															
D2,2			P19																																												
D17,1			d0,19	P																						r																					
			D0,18																																												
D14,1			d1,18																							R	r																				
			D1,18																																												
D0,1	T15,21		d2,18	G13																							R	r																	t15,21		
			D2,18																																												
D17,1			d3,18																									R	r																		
			D3,18																																												
D0,1			d4,18																										R	r																	
			D4,18																																												
D3,3			d5,18																											R	r																
			D5,18																																												
D14,3			d6,18																												R	r															
			D6,18																																												
D3,1			d7,18																													R	r														
			D7,18																																												
D20,2			d8,18																														R	r													
			D8,18																																												
D5,1			d9,18																															R	r												
			D9,18																																												
D19,1			d10,18																																R	r											
			D10,18																																												
D8,3			d11,18																																	R	r										
			D11,18																																												
D12,3			d12,18																																		R	r									
			D12,18																																												
D7,3			d13,18																																			R	r								
			D13,18																																												
D12,1			d14,18																																				R	r							
			D14,18																																												
D0,3			d15,18																																					R	r						
			D15,18																																												
D8,1			d16,18																																						R	r					
			D16,18																																												
D20,3			d17,18																																							R	r				
			D17,18																																												
D14,3			d18,18																																								R	r			
D14,3			D18,18																																									R			
D15,3			P13																																												
D19,2			d0,13	P																						r																					
			D0,13																																												
D0,3			d1,13																							R	r																				
			D1,13																																												
D19,1			d2,13	G20																							R	r																			
			D2,13																																												
D19,1			d3,13																									R	r																		
			D3,13																																												
D4,1			d4,13																										R	r																	
			D4,13																																												
D9,1			d5,13																											R	r																
			D5,13																																												
D16,1			d6,13																												R	r															
			D6,13																																												
D15,3	W		d7,13																		B20					B1,7						R	r													T16,21	
			D7,13																																												
D17,3			d8,13																														R	r													
			D8,13																																												
D4,2			d9,13																		B4					B1,6								R	r												
			D9,13																																												
D12,2			d10,13																																R	r											
			D10,13																																												
D14,3			d11,13																																	R	r										
			D11,13																																												
D14,2			d12,13																																		R	r									
			D12,13																																												
D3,3			d13,13																																			R	r								
			D13,13																																												
D4,2			d14,13																																				R	r							
			D14,13																																												
D12,2			d15,13																																					R	r						
			D15,13																																												
D9,2			d16,13																																						R	r					
			D16,13																																												
D13,3			d17,13																																							R	r				
			D17,13																																												
D12,3			d18,13																																								R	r			
D0,2			D18,13																																									R			
D5,1			P20																																												
D18,2			d0,20	P																						r																					
			D0,18																																												
D4,1			d1,18																							R	r																				
			D1,18																																												
D15,2			d2,18	G12																							R	r																			
			D2,18																																												
D18,3			d3,18																									R	r																		
			D3,18																																												
D16,3			d4,18																										R	r																	
			D4,18																																												
D0,2			d5,18																											R	r																
			D5,18																																												
D7,2			d6,18																												R	r															
			D6,18																																												
D1,1			d7,18																													R	r														
			D7,18																																												
D7,2			d8,18																														R	r													
			D8,18																																												
D19,1			d9,18																															R	r												
			D9,18																																												
D1,3			d10,18																																R	r											
			D10,18																																												
D1,3			d11,18																																	R	r										
			D11,18																																												
D0,2			d12,18																																		R	r									
			D12,18																																												
D6,1			d13,18																																			R	r								
			D13,18																																												
D3,3			d14,18																																				R	r							
			D14,18																																												
D1,1			d15,18																																					R	r						
			D15,18																																												
D11,2			d16,18																																						R	r					
			D16,18																																												
D1,3			d17,18																																							R	r				
			D17,18																																												
D15,3			d18,18																																								R	r			
D8,2			D18,18																																									R			
D4,1			P12																																												
D9,1			d0,12	P																						r																					
			D0,12																																												
D18,1			d1,12																							R	r																				
			D1,12																																												
D6,3			d2,12	G16																							R	r																			
			D2,12																																												
D17,1			d3,12																									R	r																		
			D3,12																																												
D2,2			d4,12																										R	r																	
			D4,12																																												
D7,1			d5,12																											R	r																
			D5,12																																												
D2,2			d6,12																												R	r															
			D6,12																																												
D20,3			d7,12																													R	r														
			D7,12																																												
D6,1			d8,12																														R	r													
			D8,12																																												
D19,1			d9,12																															R	r												
			D9,12																																												
D1,1			d10,12																																R	r											
			D10,12																																												
D11,2			d11,12																																	R	r										
			D11,12																																												
D16,1			d12,12																																		R	r									
			D12,12																																												
D5,2			d13,12																																			R	r								
			D13,12																																												
D13,1			d14,12																																				R	r							
			D14,12																																												
D17,2			d15,12																																					R	r						
			D15,12																																												
D5,3			d16,12																																						R	r					
			D16,12																																												
D15,1			d17,12																																							R	r				
			D17,12																																												
D12,3			d18,12																																								R	r			
D15,2			D18,12																																									R			
D18,1																																															
D10,3																																															
D11,2																																															
D15,2			P16																																												
D5,1			d0,16	P																						r																					
			D0,16																																												
D20,3			d1,16																							R	r																				
			D1,16																																												
D15,2			d2,16	G15																							R	r																			
			D2,16																																												
D12,2	W		d3,16																	B15						B3,7		R	r																T15,21		
			D3,16																																												
D19,1			d4,16																										R	r																	
			D4,16																																												
D10,3	T15,21		d5,16																											R	r																
			D5,16																																												
D10,1			d6,16																												R	r														t15,21	
			D6,16																																												
D16,3			d7,16																													R	r														
			D7,16																																												
D8,3			d8,16																														R	r													
			D8,16																																												
D12,2			d9,16																															R	r												
			D9,16																																												
D1,2			d10,16																																R	r											
			D10,16																																												
D2,3			d11,16																																	R	r										
			D11,16																																												
D20,3			d12,16																																		R	r									
			D12,16																																												
D17,3			d13,16																																			R	r								
			D13,16																																												
D2,2			d14,16																																				R	r							
			D14,16																																												
D6,2			d15,16																																					R	r						
			D15,16																																												
D14,2			d16,16																																						R	r					
			D16,16																																												
D11,2			d17,16																																							R	r				
			D17,16																																												
D11,1			d18,16																																								R	r			
D7,2			D18,16																																									R			
D15,2																																															
D6,3			P15																																												
			d0,15																																												
D6,1			U0,1	P																						r																					
			D0,15																																												
D20,3			d1,15																							R	r																				
			D1,15																																												
D16,1			d2,15	G17																							R	r																			
			D2,15																																												
D16,3			d3,15																									R	r																		
			D3,15																																												
D3,3			d4,15																										R	r																	
			D4,15																																												
D20,3			d5,15																											R	r																
			D5,15																																												
D15,1			d6,15																												R	r															
			D6,15																																												
D4,3			d7,15																													R	r														
			D7,15																																												
D3,3			d8,15																														R	r													
			D8,15																																												
D1,3			d9,15																															R	r												
			D9,15																																												
D18,2			d10,15																																R	r											
			D10,15																																												
D0,1			d11,15																																	R	r										
			D11,15																																												
D20,2			d12,15																																		R	r									
			D12,15																																												
D3,1			d13,15																																			R	r								
			D13,15																																												
D10,1			d14,15																																				R	r							
			D14,15																																												
D20,2			d15,15																																					R	r						
			D15,15																																												
D17,2			d16,15																																						R	r					
			D16,15																																												
D2,2			d17,15																																							R	r				
			D17,15																																												
D1,2			d18,15																																								R	r			
D2,1			D18,15																																									R			
D7,2																																															
D0,3			P17																																												
D17,3			d0,17	P																						r																					
			D0,16																																												
D1,3			d1,16																							R	r																				
			D1,16																																												
D11,1			d2,16	G22																							R	r																			
			D2,16																																												
D15,3			d3,16																									R	r																		
			D3,16																																												
D19,1			d4,16																										R	r																	
			D4,16																																												
D15,3			d5,16																											R	r																
			D5,16																																												
D15,3			d6,16																												R	r															
			D6,16																																												
D14,2			d7,16																													R	r														
			D7,16																																												
D1,3			d8,16																														R	r													
			D8,16																																												
D6,1			d9,16																															R	r												
			D9,16																																												
D7,3			d10,16																																R	r											
			D10,16																																												
D1,3			d11,16																																	R	r										
			D11,16																																												
D19,3			d12,16																																		R	r									
			D12,16																																												
D14,1			d13,16																																			R	r								
			D13,16																																												
D11,2			d14,16																																				R	r							
			D14,16																																												
D0,2			d15,16																																					R	r						
			D15,16																																												
D16,1			d16,16																																						R	r					
			D16,16																																												
D17,3			d17,16																																							R	r				
			D17,16																																												
D20,3			d18,16																																								R	r			
D16,1			D18,16																																									R			
D14,2			P22																																												
D0,3			d0,22	P																						r																					
			D0,22																																												
D7,3			d1,22																							R	r																				
			D1,22																																												
D11,1			d2,22	G17																							R	r																			
			D2,22																																												
D7,3			d3,22																									R	r																		
			D3,22																																												
D15,1			d4,22																										R	r																	
			D4,22																																												
D20,2			d5,22																											R	r																
			D5,22																																												
D0,1			d6,22																												R	r															
			D6,22																																												
D6,3			d7,22																													R	r														
			D7,22																																												
D7,2			d8,22																														R	r													
			D8,22																																												
D17,2			d9,22																															R	r												
			D9,22																																												
D9,3			d10,22																																R	r											
			D10,22																																												
D0,2			d11,22																																	R	r										
			D11,22																																												
D12,1			d12,22																																		R	r									
			D12,22																																												
D18,2			d13,22																																			R	r								
			D13,22																																												
D3,3			d14,22																																				R	r							
			D14,22																																												
D16,3			d15,22																																					R	r						
			D15,22																																												
D12,2			d16,22																																						R	r					
			D16,22																																												
D20,3			d17,22																																							R	r				
			D17,22																																												
D20,2			d18,22																																								R	r			
D12,3			D18,22																																									R			
			P17																																												
D14,3			d0,17	P																						r																					
			D0,17																																												
D12,1			d1,17																							R	r																				
			D1,17																																												
D5,3			d2,17	G15																							R	r																			
			D2,17																																												
D1,3			d3,17																									R	r																		
			D3,17																																												
D9,1			d4,17																										R	r																	
			D4,17																																												
D0,2			d5,17																											R	r																
			D5,17																																												
D1,2			d6,17																												R	r															
			D6,17																																												
D2,1			d7,17																													R	r														
			D7,17																																												
D3,3			d8,17																														R	r													
			D8,17																																												
D18,3			d9,17																															R	r												
			D9,17																																												
D11,2			d10,17																																R	r											
			D10,17																																												
D7,1			d11,17																																	R	r										
			D11,17																																												
D19,2			d12,17																																		R	r									
			D12,17																																												
D6,1			d13,17																																			R	r								
			D13,17																																												
D16,2			d14,17																																				R	r							
			D14,17																																												
D16,2			d15,17																																					R	r						
			D15,17																																												
D5,2			d16,17																																						R	r					
			D16,17																																												
D9,2			d17,17																																							R	r				
			D17,17																																												
D16,2			d18,17																																								R	r			
D4,1			D18,17																																									R			
D17,1																																															
D13,3																																															
D5,2			P15																																												
D8,3			d0,15	P																						r																					
			D0,15																																												
D14,2			d1,15																							R	r																				
			D1,15																																												
D16,1			d2,15	G22																							R	r																			
			D2,15																																												
D6,1			d3,15																									R	r																		
			D3,15																																												
D11,3			d4,15																										R	r																	
			D4,15																																												
D1,3			d5,15																											R	r																
			D5,15																																												
D7,1			d6,15																												R	r															
			D6,15																																												
D17,1			d7,15																													R	r														
			D7,15																																												
D20,3			d8,15																														R	r													
			D8,15																																												
D12,2			d9,15																															R	r												
			D9,15																																												
D17,3			d10,15																																R	r											
			D10,15																																												
D7,1			d11,15																																	R	r										
			D11,15																																												
D13,3			d12,15																																		R	r									
			D12,15																																												
D5,2			d13,15																																			R	r								
			D13,15																																												
D7,2			d14,15																																				R	r							
			D14,15																																												
D15,2			d15,15																																					R	r						
			D15,15																																												
D15,3			d16,15																																						R	r					
			D16,15																																												
D13,3			d17,15																																							R	r				
			D17,15																																												
D11,3			d18,15																																								R	r			
D20,2			D18,15																																									R			
			P22																																												
D14,2			d0,22	P																						r																					
			D0,22																																												
D5,1			d1,22																							R	r																				
			D1,22																																												
D10,2			d2,22	G19																							R	r																			
			D2,22																																												
D1,2			d3,22																									R	r																		
			D3,22																																												
D6,2			d4,22																										R	r																	
			D4,22																																												
D9,1			d5,22																											R	r																
			D5,22																																												
D13,3			d6,22																												R	r															
			D6,22																																												
D0,1			d7,22																													R	r														
			D7,22																																												
D0,3			d8,22																														R	r													
			D8,22																																												
D3,3			d9,22																															R	r												
			D9,22																																												
D3,2			d10,22																																R	r											
			D10,22																																												
D2,3			d11,22																																	R	r										
			D11,22																																												
D3,3			d12,22																																		R	r									
			D12,22																																												
D17,1			d13,22																																			R	r								
			D13,22																																												
D7,3			d14,22																																				R	r							
