Parent	WATOff	Names	Truck	Plant	Stud0	Stud1	Stud2	Stud3	Stud4	Stud5	Stud6	Stud7	Stud8	Stud9	Stud10	Stud11	Stud12	Stud13	Stud14	Stud15	Stud16	Stud17	Stud18	Stud19	Stud20	Mach0	Mach1	Mach2	Mach3	Mach4	Mach5	Mach6	Mach7	Mach8	Mach9	Mach10	Mach11	Mach12	Mach13	Mach14	Mach15	Mach16	Mach17	Mach18	Cour0	Cour1
*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******	*******
S	S	S																								S16																			S	S	
D14,3		R0		S	S3,30	S2,30	S1,30	S0,30	S2,30	S2,30	S1,30	S3,30	S3,30	S2,30	S3,30	S1,30	S0,30	S2,30	S0,30	S3,30	S1,30	S1,30	S0,30	S1,30	S2,30		S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16	S16			
D20,3			d6,16																												R	r															
			D6,16																																												
D6,2			d7,16																													R	r														
			D7,16																																												
			d8,16																																												
D4,3			U8,7																														R	r													
			D8,14																																												
			d9,14																																												
D18,3			U9,10																															R	r												
			D9,8																																												
			d10,8																																												
D4,3			U10,16																																R	r											
			D10,8																																												
			d11,8																																												
D12,1			U11,16																																	R	r										
			D11,5																																												
			d12,5																																												
D10,2			U12,25																																		R	r									
D17,3			D12,0																																			R									
D8,3																																															
D19,3																																															
D3,3			P12																																												
D20,2			d0,12	P																						r																					
			D0,12																																												
D18,1			d1,12																							R	r																				
			D1,11																																												
D10,3			d2,11	G13																							R	r																			
			D2,11																																												
D14,2			d3,11																									R	r																		
			D3,11																																												
D7,2			d4,11																										R	r																	
			D4,11																																												
D13,1			d5,11																											R	r																
			D5,11																																												
D6,2			d6,11																												R	r															
			D6,11																																												
D3,2			d7,11																													R	r														
			D7,11																																												
			d8,11																																												
D13,1			U8,6																														R	r													
			D8,10																																												
			d9,10																																												
D14,1			U9,8																															R	r												
			D9,8																																												
			d10,8																																												
D6,3			U10,14																																R	r											
			D10,6																																												
			d11,6																																												
D14,1			U11,16																																	R	r										
			D11,6																																												
			d12,6																																												
D14,1			U12,21																																		R	r									
			D12,2																																												
			d13,2																																												
D20,3			U13,30																																			R	r								
D15,3			D13,0																																				R								
D19,1			P13																																												
D8,1			d0,13	P																						r																					
			D0,13																																												
D14,2			d1,13																							R	r																				
			D1,13																																												
D18,1			d2,13	G12																							R	r																			
			D2,13																																												
